7243. емисија
111. циклус
21. емисија
25. 02. 2019.
www.youtube.com/watch?v=rvEbzTIPCgE

А1 - ХАЛА
А2 - МАШИНЕ
А3 - КОМПЛЕКС
А4 - ЕНДИ ВОРХОЛ
 А - ФАБРИКА
Б1 - КОПНЕНИ
Б2 - ВАЗДУШНИ
Б3 - ЗНАК
Б4 - ФАКУЛТЕТ
 Б - САОБРАЋАЈ
В1 - ЕКИПА
В2 - ВОЂА
В3 - САВЕЗНИ
В4 - ЗАМЕНИК
 В - КАПИТЕН
Г1 - ЦРНО-БЕЛИ
Г2 - ФЕСТИВАЛ
Г3 - МАРАТОН
Г4 - БИОСКОП
 Г - ФИЛМ
??? - ТРАКА

А1 - АТЛЕТИКА
А2 - КОНЦЕРТ
А3 - ПАРТЕР
А4 - ТАЈНА
 А - ДВОРАНА
Б1 - КУНДЕРА
Б2 - ХАВЕЛ
Б3 - РЕПУБЛИКА
Б4 - ПРАГ
 Б - ЧЕШКА
В1 - КРАЉЕВИЦА
В2 - ПИВО
В3 - ГИТАРИЈАДА
В4 - ТИМОК
 В - ЗАЈЕЧАР
Г1 - ПИТОН
Г2 - ЏОЕЛ
Г3 - КИД
Г4 - АЈДОЛ
 Г - БИЛИ
??? - КРИСТАЛ
