7020. емисија
107. циклус
13. емисија
16. 07. 2018.
www.youtube.com/watch?v=hxNZzTth1-Y

А1 - РЕНТГЕН
А2 - ПЛУЋА
А3 - ФОТОАПАРАТ
А4 - СКРАЋЕНИ
 А - СНИМАК
Б1 - ПЛАН
Б2 - МАНИФЕСТ
Б3 - РАЧУНАР
Б4 - СОФТВЕР
 Б - ПРОГРАМ
В1 - НЕЗНАНИ ЈУНАК
В2 - СПОМЕНИК
В3 - БЕОГРАД 
В4 - ПЛАНИНА
 В - АВАЛА
Г1 - ПРОИЗВОДЊА
Г2 - ГРАМОФОНСКА
Г3 - ОРГАНИЗАЦИЈА
Г4 - ПРИКАЗИВАЊЕ
 Г - ПРОДУКЦИЈА
??? - ТЕЛЕВИЗИЈА

А1 - ШТРИКАЊЕ
А2 - ЧАРАПА
А3 - ИМАТИ...
А4 - МОСТАРСКА
 А - ПЕТЉА
Б1 - ЗЕМЉОРАДЊА
Б2 - ШУМАРСТВО
Б3 - СТОЧАРСТВО
Б4 - ИНТЕНЗИВНА
 Б - ПОЉОПРИВРЕДА
В1 - БУМБАР
В2 - КОНДОР
В3 - ВАЗДУХ
В4 - КРЕТАЊЕ
 В - ЛЕТ
Г1 - СРЕДСТВО
Г2 - СКЕЛА
Г3 - ТАКСИ
Г4 - АУТОБУС
 Г - ПРЕВОЗ
??? - АВИОН
