6230. емисија
94. циклус
16. емисија
17. 03. 2016.
www.youtube.com/watch?v=GCwku39DAdQ

А1 - МАЛАКСАЛОСТ
А2 - НАГЛО
А3 - СЛОМ
А4 - ДОЖИВЕТИ
 А - КОЛАПС
Б1 - ИЗВОР
Б2 - МАТИЦА
Б3 - БОСНА
Б4 - МОСКВА
 Б - РЕКА
В1 - ШАХ
В2 - ФИГУРА
В3 - ДРУГИ РЕД
В4 - ЂАК
 В - ПЕШАК
Г1 - РЕЛИ
Г2 - ПРОФЕСИНАЛАЦ
Г3 - ИСПИТ
Г4 - ОБУКА
 Г - ВОЗАЧ
??? - САОБРАЋАЈ

А1 - АВНОЈ
А2 - СКУПШТИНА
А3 - РЕДОВНО
А4 - ВЛАДА
 А - ЗАСЕДАЊЕ
Б1 - ХИЛТОН
Б2 - ЈЕЛЕНА
Б3 - ОТМИЦА
Б4 - ТРОЈА
 Б - ПАРИС
В1 - ГЛАВНИ
В2 - НАЈВИШИ
В3 - ШТАБ
В4 - КОМАНДАНТ
 В - ВРХОВНИ
Г1 - БРАК
Г2 - РАСКИД
Г3 - СПОРАЗУМНИ
Г4 - РАСТАВА
 Г - РАЗВОД
??? - СУД
