7080. емисија
108. циклус
12. емисија
15. 09. 2018.
www.youtube.com/watch?v=fEOrxEABh9U

А1 - ХАЉИНА
А2 - ДВОРАНА
А3 - ВАМПИРИ
А4 - НА ВОДИ
 А - БАЛ
Б1 - СОБА
Б2 - ВИДЕ
Б3 - ФИЛМ
Б4 - СЦЕНА
 Б - КАМЕРА
В1 - -СЕЛО
В2 - -ФЕСТИВАЛ
В3 - МУЗЕЈ
В4 - ФОЛКЛОРНО
 В - ЕТНО
Г1 - ПОШТА
Г2 - ИНДУСТРИЈА
Г3 - ЦИГАРЕТА
Г4 - ...НАПЛАТА КАРТИЦОМ
 Г - ЕЛЕКТРОНСКА
??? - МУЗИКА

А1 - МАЧКА
А2 - ЏАК
А3 - ПАЗАР
А4 - ПИЈАЦА
 А - КУПОВИНА
Б1 - НОВАЦ
Б2 - ЦАРИНА
Б3 - ТРГОВИНА
Б4 - РАЗМЕНА
 Б - РОБА
В1 - ТУЂИНА
В2 - ДИЈАСПОРА
В3 - АЗИЛ
В4 - ПУТОВАЊЕ
 В - ИНОСТРАНСТВО
Г1 - ПРЕВОЗ
Г2 - МАРКА
Г3 - АДМИНИСТРАТИВНА
Г4 - ДАЖБИНА
 Г - ТАКСА
??? - УВОЗ
