6075. емисија
91. циклус
44. емисија
14. 10. 2015.
www.youtube.com/watch?v=Ga9ja4I25Js

А1 - РОШТИЉ
А2 - ЗАТВОР
А3 - КАНАЛИЗАЦИЈА
А4 - ЦЕДИЉКА
 А - РЕШЕТКА
Б1 - БРАВА
Б2 - КОСТ
Б3 - БАС
Б4 - ВИОЛИНА
 Б - КЉУЧ
В1 - СЕЛИЦЕ
В2 - ЛЕТ
В3 - СТАНАРИЦЕ
В4 - ГРАБЉИВИЦЕ
 В - ПТИЦЕ
Г1 - ФИЗИЧАР
Г2 - КАПАИЦИТИВНОСТ
Г3 - КОНСТАНТА
Г4 - МАЈКЛ
 Г - ФАРАДЕЈ
??? - КАВЕЗ

А1 - ЗРНО
А2 - БРАДА
А3 - СВИЛА
А4 - КОШ
 А - КУКУРУЗ
Б1 - КРИЛА
Б2 - ЛОВАЦ
Б3 - АЕРОДРОМ
Б4 - ПУТНИК
 Б - АВИОН
В1 - ЛАНАЦ
В2 - ЕВОЛУЦИЈА
В3 - ГИМНАСТИКА
В4 - СПОЈЕВИ
 В - КАРИКЕ
Г1 - ГЕОМЕТРИЈА
Г2 - ТЕЛО
Г3 - БРАВА 
Г4 - ШЕШИР
 Г - ЦИЛИНДАР
??? - КЛИП
