6711. емисија
102. циклус
9. емисија
10. 09. 2017.
www.youtube.com/watch?v=fHJ2TvprQc8

А1 - СЈАЈ
А2 - ЧЕТКИЦА
А3 - КАРМИН
А4 - ПУДЕР
 А - ШМИНКА
Б1 - МОДЕРНА
Б2 - АКАДЕМИЈА
Б3 - СТИЛ
Б4 - ЕПОХА
 Б - УМЕТНОСТ
В1 - СВЕТЛОСТИ
В2 - БИНА
В3 - ЛЕТЊА
В4 - СВЕТСКА
 В - ПОЗОРНИЦА
Г1 - КОЛА
Г2 - КАТАРИНА
Г3 - ПЉАЧКА
Г4 - СУБОТА
 Г - ВЕЛИКА
??? - СЦЕНА

А1 - ГОЛ
А2 - БЕЛА
А3 - ОДБРАНА
А4 - ФАБРИКА
 А - ЛИНИЈА
Б1 - ЗДРАВСТВО
Б2 - ДОКУМЕНТ
Б3 - ИНДЕКС
Б4 - ЂАК
 Б - КЊИЖИЦА
В1 - УГОВОР
В2 - ПОТПИС
В3 - ШАЛТЕР
В4 - ПРИПАДНИК
 В - СТРАНКА
Г1 - КАПИТЕН
Г2 - ТИМ
Г3 - ГРУПА
Г4 - ВРХОВНИ
 Г - ВОЂА
??? - ПАРТИЈА
