7354. емисија
115. циклус
12. емисија
16. 06. 2019.
www.youtube.com/watch?v=4YAjZ9LMKOY

А1 - МАСАЖА
А2 - СУНЦОКРЕТ
А3 - МАСЛИНА
А4 - ПЛАТНО
 А - УЉЕ
Б1 - СУПРУГА
Б2 - ЧУДЕСНА
Б3 - ЗГОДНА
Б4 - НАКИТ
 Б - ЖЕНА
В1 - ПРЕГРАДА
В2 - ПИРСИНГ
В3 - СУРЛА
В4 - ФЛАСТЕР
 В - НОС
Г1 - АРАНЖМАН
Г2 - ЗЛО
Г3 - ПОЉЕ
Г4 - САКСИЈА
 Г - ЦВЕЋЕ
??? - МИРИС

А1 - ИСЛАМ
А2 - ХРИШЋАНСТВО
А3 - ЈУДАИЗАМ
А4 - БУДИЗАМ
 А - РЕЛИГИЈА
Б1 - ЦРНА
Б2 - КРПА
Б3 - РЕАЛИЗАМ
Б4 - ВЛАСИ
 Б - МАГИЈА
В1 - ИГРАЧКА
В2 - ИНСЕКТ
В3 - ПОЗОРИШТЕ
В4 - ИЗЛОГ
 В - ЛУТКА
Г1 - ЛУЛА
Г2 - МОРНАР
Г3 - СПАНАЋ
Г4 - СИДРО
 Г - ПОПАЈ
??? - ВУДУ
