7023. емисија
107. циклус
16. емисија
19. 07. 2018.
www.youtube.com/watch?v=iQXs-V-OjB8

А1 - КУЛА
А2 - АЈФЕЛ
А3 - КОНТРОЛА
А4 - ПАКЛЕНИ
 А - ТОРАЊ
Б1 - БИЗАМ
Б2 - КАНАЛИ
Б3 - КУГА
Б4 - ГЛОДАР
 Б - ПАЦОВ
В1 - СЛАНИ
В2 - ОТАПАЊЕ
В3 - ЗАСИЋЕН
В4 - БЛАГИ
 В - РАСТВОР
Г1 - БОЈЛЕР
Г2 - НАСЛАГА
Г3 - ТАЛОЖЕЊЕ
Г4 - ТВРДА ВОДА
 Г - КАМЕНАЦ
??? - ВОДЕНИ

А1 - АТАР
А2 - НАСЕЉЕ
А3 - РАВНО
А4 - ДЕЧЈЕ
 А - СЕЛО
Б1 - ЗАКОН
Б2 - ЦРВЕНО
Б3 - АЗБУКА
Б4 - ДРЖАТИ
 Б - СЛОВО
В1 - РОБА
В2 - ПРОДАЈА
В3 - КУПОВИНА
В4 - РАЗМЕНА
 В - ТРГОВИНА
Г1 - МОРИС
Г2 - ПАКОВАЊЕ
Г3 - МАРКЕТ
Г4 - СУКЊА
 Г - МИНИ
??? - МАЛО
