7106. емисија
108. циклус
38. емисија
11. 10. 2018.
www.youtube.com/watch?v=u1cta7XkxCE

А1 - ДЛАНОВИ
А2 - СТАДИОН
А3 - ТАПШАЊЕ
А4 - ОДУШЕВЉЕЊЕ
 А - АПЛАУЗ
Б1 - ТРЕМА
Б2 - ЈАВНИ
Б3 - ДЕБИТАНТСКИ
Б4 - ПРЕД
 Б - НАСТУП
В1 - КОМПЛЕТ
В2 - ОДЕЛО
В3 - КУПАЊЕ
В4 - МАСКЕНБАЛ
 В - КОСТИМ
Г1 - МУЗИКА
Г2 - ПЛЕС
Г3 - ПОКРЕТ
Г4 - ФИГУРА
 Г - БАЛЕТ
??? - СЦЕНА

А1 - МЕСЕЦ
А2 - МЕТЕОР
А3 - ГРОТЛО
А4 - ВУЛКАН
 А - КРАТЕР
Б1 - ЛЕГЛО
Б2 - ЗЕМЉА
Б3 - ЖИВОТИЊА
Б4 - ВУК
 Б - ЈАЗБИНА
В1 - КАРИКА
В2 - ЗЛАТНА
В3 - БИСЕРНА
В4 - УХО
 В - МИНЂУША
Г1 - ИГЛА
Г2 - БРИГАДА
Г3 - ВЕСТ
Г4 - ГЛАВНА
 Г - УДАРНА
??? - РУПА
