6742. емисија
102. циклус
40. емисија
11. 10. 2017.
www.youtube.com/watch?v=2DWq1EohfSo

А1 - НЕОН
А2 - ТВ
А3 - ПАНО
А4 - СПОТ
 А - РЕКЛАМА
Б1 - ПРИВАТНИ
Б2 - ИСТРАГА
Б3 - ПОАРО
Б4 - СЛУЧАЈ
 Б - ДЕТЕКТИВ
В1 - КИША
В2 - МОНТГОМЕРИ
В3 - КОЖНИ
В4 - РАДНИ
 В - МАНТИЛ
Г1 - СТАТУС
Г2 - ЕФЕКТИ
Г3 - РЕЗЕРВАТ
Г4 - НАРОЧИТИ
 Г - СПЕЦИЈАЛНИ
??? - АГЕНТ

А1 -  ПРОСТОРИЈЕ
А2 - УДРУЖЕЊЕ
А3 - ЏЕЗ
А4 - НОЋ
 А - КЛУБ
Б1 - ПРЕДВОДНИК
Б2 - БАНДА
Б3 - ГРУПА
Б4 - ЧЕЛО
 Б - ВОЂА
В1 - ОБЈЕКТИВНА
В2 - АПЛАУЗ
В3 - СЕДИШТА
В4 - ПОЗОРИШТЕ
 В - ПУБЛИКА
Г1 - ПОЉУБАЦ
Г2 - ЗНАК
Г3 - ПОЈАС
Г4 - ПАЦИФИК
 Г - ВАТРЕНИ
??? - НАВИЈАЧИ
