5924. емисија
89. циклус
15. емисија
02. 05. 2015.
www.youtube.com/watch?v=VIBgF5k6JFo

А1 - СИЊИ
А2 - ПТИЦА
А3 - МОРЕ
А4 - ЏОНАТАН ЛИНГВИСТОН
 А - ГАЛЕБ
Б1 - ТИХА
Б2 - СПОКОЈНА
Б3 - ПОСЛУШНА
Б4 - БАЧКА
 Б - МИРНА
В1 - ВЕЗНИК
В2 - ВРЕМЕНСКИ
В3 - ХОЛИДЕЈ
В4 - ...ПАЛМЕ ЊИШУ ГРАНЕ
 В - ДОК
Г1 - ДРЖАВА
Г2 - ГРАД
Г3 - АЗИЈА
Г4 - МАЛЕЗИЈА
 Г - СИНГАПУР
??? - ЛУКА

А1 - ГЛАВА
А2 - КОСА
А3 - ВЕШТАЧКА
А4 - МАСКИРАЊЕ
 А - ПЕРИКА
Б1 - САОБРАЋАЈНА
Б2 - ОТПРАВНИК
Б3 - ДУНУТИ
Б4 - КУГЛИЦА
 Б - ПИШТАЉКА
В1 - КОРНЕР
В2 - Ш.САТ
В3 - ГОЛФ
В4 - МАХАЊЕ
 В - ЗАСТАВИЦА
Г1 - АРХИМЕД
Г2 - ГРАВИТАЦИЈА
Г3 - МАРФИЈЕВ
Г4 - КЕПЛЕР
 Г - ЗАКОН
??? - СУДИЈА
