7053. емисија
107. циклус
46. емисија
18. 08. 2018.
www.youtube.com/watch?v=u4U_AKJsFX8

А1 - КРИСТАЛ
А2 - ВИНО
А3 - СЛАДОЛЕД
А4 - ПРАЗНА
 А - ЧАША
Б1 - ПОЛИТИЧАР
Б2 - ЈЕЗИК
Б3 - СЕДНИЦА
Б4 - УПРАВНИ
 Б - ГОВОР
В1 - БЛЕД
В2 - ТРИГЛАВ
В3 - КРШКО
В4 - ДРАВА
 В - СЛОВЕНИЈА
Г1 - УСТАЈАЊЕ
Г2 - СВЕЧАНОСТ
Г3 - ИНТОНИРАЊЕ
Г4 - ДРЖАВА
 Г - ХИМНА
??? - ЗДРАВИЦА

А1 - ПЛАВА
А2 - ВАЂЕЊЕ
А3 - СУД
А4 - НИЈЕ ВОДА
 А - КРВ
Б1 - ПРОСТОРИЈА
Б2 - ЕПРУВЕТЕ
Б3 - МИШ
Б4 - ЕКСПЕРИМЕНТ
 Б - ЛАБОРАТОРИЈА
В1 - ЈАВНОСТ
В2 - ПРАКСА
В3 - СПРЕМА
В4 - СЛУЖБА
 В - СТРУЧНА
Г1 - ИСТРАГА
Г2 - СВЕОБУХВАТНО
Г3 - ИСЦРПНА
Г4 - ПОДРОБНА
 Г - ДЕТАЉНА
??? - АНАЛИЗА
