6039. емисија
91. циклус
8. емисија
08. 09. 2015.
www.youtube.com/watch?v=m2_73IVbPso

А1 - ВРЕМЕ
А2 - КОВНИЦА
А3 - ПАПИР
А4 - МЕТАЛ
 А - НОВАЦ
Б1 - РЕНДГЕН
Б2 - ТОПЛОТНО
Б3 - КОСМИЧКО
Б4 - РАДИОАКТИВНО
 Б - ЗРАЧЕЊЕ
В1 - СЕРИЈА
В2 - ПРОГРАМ
В3 - ЕКРАН
В4 - ПРИЈЕМНИК
 В - ТВ
Г1 - ТАЛАСИ
Г2 - ВЕЗА
Г3 - АПАРАТ
Г4 - FM
 Г - РАДИО 
??? - ЕМИСИЈА

А1 - КОСА
А2 - ПАРАЛЕЛНА
А3 - СЛИКАРСТВО
А4 - ГЕОМЕТРИЈА
 А - ПЕРСПЕКТИВА
Б1 - ПРЕПЕЛИЦА
Б2 - НОЈ
Б3 - НИРНБЕРГ
Б4 - ЉУСКА
 Б - ЈАЈЕ
В1 - ПЕЋ
В2 - КОПРИВА
В3 - ВАТРА
В4 - РОШТИЉ
 В - ЖАР
Г1 - РЕШЕТКЕ
Г2 - ЛАВ
Г3 - КАТАНАЦ
Г4 - ФАРАДЕЈ
 Г - КАВЕЗ
??? - ПТИЦА
