5698. емисија
85. циклус
33. емисија
18. 09. 2014.
www.youtube.com/watch?v=XmSECmf2-Co

А1 - СТАКЛО
А2 - СВЕЋИЦЕ
А3 - У БАЛОН
А4 - ВЕТАР
 А - ДУВАЊЕ
Б1 - КОЛОНИЈЕ
Б2 - ВИКТОРИЈА
Б3 - ЈУЖНА
Б4 - МОЈА
 Б - АФРИКА
В1 - МЕРЕЊЕ
В2 - ХИРУРГИЈА
В3 - ПРЕЦИЗНИ
В4 - ОРУЂЕ
 В - ИНСТРУМЕНТ
Г1 - ЦРКВА
Г2 - СЛАВА
Г3 - ПЛАМЕН
Г4 - ВОСАК
 Г - СВЕЋА
??? - РОГ

А1 - ПРИРОДА
А2 - ДРУШТВО
А3 - АКАДЕМИЈА
А4 - УЧЕЊЕ
 А - НАУКА
Б1 - БОМБА
Б2 - ФУЗИЈА
Б3 - РЕАКЦИЈА
Б4 - ПРОБА
 Б - НУКЛЕАРНА
В1 - ЕКИПА
В2 - ОПРЕМА
В3 - ДИСЦИПЛИНА
В4 - ПРОГНОЗА
 В - СПОРТСКА
Г1 - БАЊА
Г2 - ЛЕКОВИ
Г3 - ДИЈЕТА
Г4 - ПСИХО-
 Г - ТЕРАПИЈА
??? - МЕДИЦИНА
