6628. емисија
100. циклус
48. емисија
19. 06. 2017.
www.youtube.com/watch?v=EAohnlAsLCA

А1 - ТОВИЉА
А2 - ДЕКЛАРАЦИЈА
А3 - БАН КИ-МУН
А4 - ИСТ РИВЕР
 А - УН
Б1 - ТВ
Б2 - МОНИТОР
Б3 - ДИЈАГОНАЛА
Б4 - ЛЕД
 Б - ЕКРАН
В1 - НАРОД
В2 - ОДБОР
В3 - ПОСЛАНИК
В4 - ПАРЛАМЕНТ
 В - СКУПШТИНА
Г1 - ИНСТРУМЕНТ
Г2 - ЛАБОРАТОРИЈА
Г3 - УВЕЛИЧАЊЕ
Г4 - ЛЕВЕНКУК
 Г - МИКРОСКОП
??? - РЕЗОЛУЦИЈА

А1 - КАЗАН
А2 - БАЛОН
А3 - ВЕНАЦ
А4 - ШЉИВА
 А - РАКИЈА
Б1 - ЗАЛИВ
Б2 - СОМБРЕРО
Б3 - ЈУКАТАН
Б4 - ГВАДАЛАХАРА
 Б - МЕКСИКО
В1 - СОК
В2 - КИСЕЛИНА
В3 - ЦЕЂЕЊЕ
В4 - ЖУТ
 В - ЛИМУН
Г1 - ЗРНО
Г2 - КАЛИЈУМ
Г3 - ПУТЕВИ
Г4 - ХЛЕБ
 Г - СО
??? - ТЕКИЛА
