6128. емисија
92. циклус
36. емисија
06. 12. 2015.
www.youtube.com/watch?v=dWzNoA9vogw

А1 - ЛИСТ
А2 - НОВИ САД
А3 - ЈУТАРЊИ
А4 - АНА ФРАНК
 А - ДНЕВНИК
Б1 - РЕПУТАЦИЈА
Б2 - ГЛАСИНА
Б3 - КРУЖЕЊЕ
Б4 - ГОВОРКАЊЕ
 Б - ФАМА
В1 - ИЗДАВАЧ
В2 - КУЋА
В3 - ШТАМПА
В4 - ИМПРЕСУМ
 В - НОВИНЕ
Г1 - ИГЛА
Г2 - БРИГАДА
Г3 - СНАГА
Г4 - ДИВИЗИЈА
 Г - УДАРНА
??? - ВЕСТ

А1 - ТЕНИС
А2 - АСОЦИЈАЦИЈА
А3 - СКРАЋЕНИЦА
А4 - ТУРНИР
 А - АТР
Б1 - ТРИ
Б2 - НАЈЛЕПШЕ
Б3 - БУНАР
Б4 - ФОНТАНА
 Б - ЖЕЉЕ
В1 - ИМЕНИК
В2 - БИРАЧИ
В3 - ЛИТЕРАТУРА
В4 - АЗБУЧНИ
 В - СПИСАК
Г1 - ХЕМИЈА
Г2 - ПОМОЋНИЦА
Г3 - ХАЉИНА
Г4 - АТМОСФЕРА
 Г - КУЋНА
??? - ЛИСТА
