7160. емисија
109. циклус
31. емисија
04. 12. 2018.
www.youtube.com/watch?v=txutTWKmIWE

А1 - КАРТОН
А2 - ЕРИК
А3 - КРСТ
А4 - БАРОН
 А - ЦРВЕНИ
Б1 - НАМЕШТАЈ
Б2 - ЛЕПОТА
Б3 - ФРИЗЕР
Б4 - ПРОСТОРИЈА
 Б - САЛОН
В1 - КОРИДОР
В2 - ЋЕВАПИ
В3 - ТАКОВСКА
В4 - ЗАПОВЕСТ
 В - 10
Г1 - КАРАНФИЛ
Г2 - РУЖА
Г3 - ЛАЛА
Г4 - НАРАНЏАСТА
 Г - РЕВОЛУЦИЈА
??? - ОКТОБАР

А1 - СТАС
А2 - КОСА
А3 - ЗУБИ
А4 - ПОВЕЋАЊЕ
 А - РАСТ
Б1 - ПРОФЕСОР
Б2 - СТУДЕНТИ
Б3 - ДИПЛОМА
Б4 - ДЕКАН
 Б - ФАКУЛТЕТ
В1 - ЗОНА
В2 - ЕМИНЕНЦИЈА
В3 - ЧАПЉА
В4 - МАСА
 В - СИВА
Г1 - МОРАЛ
Г2 - ШТАБ
Г3 - МЕНАЏМЕНТ
Г4 - ИДЕНТИТЕТ
 Г - КРИЗА
??? - ЕКОНОМИЈА
