6168. емисија
93. циклус
15. емисија
15. 01. 2016.
www.youtube.com/watch?v=WIf2sbiLweQ

А1 - АРИЈАНА
А2 - ЛАНСИРАЊЕ
А3 - СИГНАЛ
А4 - РАМПА
 А - РАКЕТА
Б1 - ГЕНИ
Б2 - УКРШТАЊЕ
Б3 - КУКУРУЗ
Б4 - МАЗГА
 Б - ХИБРИД
В1 - СТРАНЕ
В2 - СВЕТ
В3 - ЈАХАЧИ
В4 - АПОКАЛИПСА
 В - ЧЕТИРИ
Г1 - ВОДЕНИЦА
Г2 - РУЛЕТ
Г3 - РЕЗЕРВА
Г4 - ОКРЕТАЊЕ
 Г - ТОЧАК
??? - ПОГОН

А1 - КВАСАЦ
А2 - БРАШНО
А3 - МОДЛА
А4 - ЛИСНАТО
 А - ТЕСТО
Б1 - ИНДИЈАНЦИ
Б2 - КАУБОЈИ
Б3 - ФИЛМ
Б4 - ЏОН ВЕЈН
 Б - ВЕСТЕРН
В1 - МАДЕРА
В2 - ЛОВАЦ
В3 - ТАРТАР
В4 - БЕШАМЕЛ
 В - СОС
Г1 - СКАЛА
Г2 - ЕДИКТ
Г3 - ЧУДО
Г4 - ИНТЕР
 Г - МИЛАН
??? - ШПАГЕТЕ
