5982. емисија
90. циклус
12. емисија
29. 06. 2015.
www.youtube.com/watch?v=fBTm9aN9-PM

А1 - ПОСТИЋИ
А2 - КЉУЧ
А3 - ШКОЛА
А4 - ОДЛИЧАН
 А - УСПЕХ
Б1 - РЕЧ
Б2 - КРИТИКА
Б3 - СЛОВЕСНА
Б4 - ЛИТЕРАРНА
 Б - КЊИЖЕВНА
В1 - УЛИЦА
В2 - ТЕМА
В3 - НАЈВАЖНИЈА
В4 - СЕСТРА
 В - ГЛАВНА
Г1 - ЗАСЛУЖЕНО
Г2 - ОДАТИ
Г3 - ДИПЛОМА
Г4 - ЗА ТРУД
 Г - ПРИЗНАЊЕ
??? - НАГРАДА

А1 - СТАНИЦА
А2 - ЈЕДИНИЦА
А3 - ХАПШЕЊЕ
А4 - НАДЗОР
 А - ПОЛИЦИЈА
Б1 - БЕЛЕЖНИК
Б2 - СЕРВИС
Б3 - СКУП
Б4 - НАСТУП
 Б - ЈАВНИ
В1 - МЛЕКО
В2 - ЖИВОТИЊЕ
В3 - КИЧМЕЊАЦИ
В4 - ПЛАЦЕНТА
 В - СИСАРИ
Г1 - НУМЕРИСАНА
Г2 - СТОЛИЦЕ
Г3 - СИЦЕВИ
Г4 - АУТОМОБИЛИ
 Г - СЕДИШТА
??? - РЕД
