6658. емисија
101. циклус
17. емисија
19. 07. 2017.
www.youtube.com/watch?v=BDOemdWDDJw

А1 - БАНКА
А2 - НОВАЦ
А3 - ЧУВАЊЕ
А4 - ПОШТАНСКА
 А - ШТЕДИОНИЦА
Б1 - МИСАО
Б2 - ТОК
Б3 - РАЗУМ
Б4 - ПСИХА
 Б - СВЕСТ
В1 - СТАРА
В2 - БЕЛА
В3 - ШВАЈЦАРСКА
В4 - ВАТИКАН
 В - ГАРДА
Г1 - МИЗАНТРОП
Г2 - ОСЕЋАЊЕ
Г3 - ПЛАМЕН
Г4 - ГОВОР
 Г - МРЖЊА
??? - НАЦИОНАЛНА

А1 - ЖУТО
А2 - ЦРВЕНО
А3 - БЕЛО
А4 - МРАМОР
 А - МОРЕ
Б1 - ПРАВО
Б2 - ПРИОРИТЕТ
Б3 - ПРОЛАЗ
Б4 - ЛИГА
 Б - ПРВЕНСТВО
В1 - ДИВНО
В2 - НЕВИЂЕНО
В3 - ШАРГАН
В4 - МИЛАНО
 В - ЧУДО
Г1 - ОТВОРЕНО
Г2 - ЗАКОНИ
Г3 - РОБА
Г4 - ПЛАСМАН
 Г - ТРЖИШТЕ
??? - СВЕТСКО
