6746. емисија
102. циклус
44. емисија
15. 10. 2017.
www.youtube.com/watch?v=jUk6NaEmzhw

А1 - РЕЦИПРОЦИТЕТ
А2 - ТЕРМОДИНАМИКА
А3 - ГАВРИЛО
А4 - ОСНОВНИ
 А - ПРИНЦИП
Б1 - СТРЕЉАШТВО
Б2 - ВЕЖБАЊЕ
Б3 - ЗАУЗЕТИ
Б4 - ГЛЕДИШТЕ
 Б - СТАВ
В1 - ЛИЦЕ
В2 - СРЕДСТВО
В3 - ТУМАЧЕЊЕ
В4 - САВЕТОВАЛИШТЕ
 В - ПРАВНО
Г1 - ПОНАШАЊЕ
Г2 - ВАСПИТАЊЕ
Г3 - ЉУДСКО
Г4 - ЕТИЧКО
 Г - МОРАЛНО
??? - НАЧЕЛО

А1 - СЛАМА
А2 - ДИВЉИ
А3 - ЛОВ
А4 - ЛУТАЛИЦЕ
 А - ПСИ
Б1 - ТУЂИНА
Б2 - ПРЕДСТАВЉАЊЕ
Б3 - ПАСОШ
Б4 - ПУТОВАЊЕ
 Б - ИНОСТРАНСТВО
В1 - КОМЕСАР
В2 - ВИЦ
В3 - ПРОТИВНИК
В4 - ПРИТИСАК
 В - ПОЛИТИЧКИ
Г1 - ПРИБЕЖИШТЕ
Г2 - АТОМСКО
Г3 - ПОДРУМ
Г4 - ОД КИШЕ
 Г - СКЛОНИШТЕ
??? - АЗИЛ
