7001. емисија
106. циклус
55. емисија
27. 06. 2018.
www.youtube.com/watch?v=TfTKinobFHY

А1 - НЕБО
А2 - ГЕОМЕТРИЈА
А3 - ЧОВЕК
А4 - КОРПУС
 А - ТЕЛО
Б1 - ЗНАК
Б2 - КЉУЧАЊЕ
Б3 - ЗЕНИТ
Б4 - ДНЕВНИ РЕД
 Б - ТАЧКА
В1 - ЦЕНТАР
В2 - УВО
В3 - БАЛАНС
В4 - ОДРЖАВАТИ
 В - РАВНОТЕЖА
Г1 - ПРИЗЕМЉЕ
Г2 - ЧЕЛО
Г3 - ПОДЛО
Г4 - НЕВИСОКО
 Г - НИСКО
??? - ТЕЖИШТЕ

А1 - ТЕРЕН
А2 - САСТАВ
А3 - ТЛО
А4 - ГРАЂЕВИНСКО
 А - ЗЕМЉИШТЕ
Б1 - СЛИЧИЦЕ
Б2 - ЗАМЕНА
Б3 - ДАЉИНСКИ
Б4 - КАНАЛИ
 Б - МЕЊАЊЕ
В1 - ГРЕНЛАНД
В2 - АЛПИ
В3 - ГЛЕЧЕР
В4 - ЈЕЗЕРО
 В - ЛЕДНИК
Г1 - КРЕЧЊАК
Г2 - КРШ
Г3 - РЕЉЕФ
Г4 - БИЛЕЋКИ
 Г - КРАС
??? - ЕРОЗИЈА
