6606. емисија
100. циклус
26. емисија
28. 05. 2017.
www.youtube.com/watch?v=d7QE6cyogfE

А1 - ЂУРЂЕВДАН
А2 - МИТРОВДАН
А3 - НУШИЋ
А4 - У ДОБРИ ЧАС
 А - ХАЈДУЦИ
Б1 - ЦИЉ
Б2 - БЕНД
Б3 - ИНТЕРЕС
Б4 - ГРАЂАНИ
 Б - ГРУПА 
В1 - СЕРИЈА
В2 - ЧЕНДЛЕР
В3 - ФИБИ
В4 - РОС
 В - ПРИЈАТЕЉИ
Г1 - КРУГ
Г2 - ПЕЧАТ
Г3 - ВЕРЕНИЦА
Г4 - КАМЕН
 Г - ПРСТЕН
??? - ДРУЖИНА

А1 - ШТУКА
А2 - АМУР
А3 - СКУША
А4 - СМУЂ
 А - РИБЕ
Б1 - ПИНГВИН
Б2 - ГОЛУБ
Б3 - НОЈ
Б4 - СОКО
 Б - ПТИЦЕ
В1 - СУНЦЕ
В2 - ПОЛАРИС
В3 - СИРИЈУС
В4 - БЕТЕЛГЕЗ
 В - ЗВЕЗДЕ
Г1 - ТЕОРИЈА
Г2 - НАВИЈАЧИ
Г3 - КРВНА
Г4 - МУЗИЧКА
 Г - ГРУПА 
??? - ЈАТО
