6501. емисија
98. циклус
43. емисија
12. 02. 2017.
www.youtube.com/watch?v=wNnlvOW492w

А1 - КОРИТО
А2 - ТЕГЉАЧ
А3 - БОСНА
А4 - СЛАВОНИЈА
 А - БРОД
Б1 - КУБА
Б2 - ЈАМАЈКА
Б3 - ХАИТИ
Б4 - ТРИДИДАД
 Б - КАРИБИ
В1 - ЗЕМЉА
В2 - РОГ
В3 - АФРИКА
В4 - МОГАДИШ
 В - СОМАЛИЈА
Г1 - ПИСАЦ
Г2 - ШПАНИЈА
Г3 - ИНСТИТУТ
Г4 - ДОН КИХОТ
 Г - СЕРВАНТЕС
??? - ПИРАТИ

А1 - ШКОЛА
А2 - РАСТАНАК
А3 - БУНА
А4 - ПРВАК
 А - ЂАК
Б1 - ОЦЕНА
Б2 - РОК
Б3 - ПЛАНИНСКИ
Б4 - ГРАНИЧНИ
 Б - ПРЕЛАЗ
В1 - ГРЕНЛАНД
В2 - ЕЛЕСМИР
В3 - КОРЗИКА
В4 - ЈАВА
 В - ОСТРВО
Г1 - ПРОБЛЕМ
Г2 - ПОТЕЗ
Г3 - САТ
Г4 - ПАРТИЈА
 Г - ШАХ
??? - ПЕШАК
