6547. емисија
99. циклус
28. емисија
30. 03. 2017.
www.youtube.com/watch?v=EmR3LXZ3tII

А1 - КОЖА
А2 - ГУМА
А3 - КАУБОЈ
А4 - МАЧАК
 А - ЧИЗМЕ
Б1 - ВЕНЕЦИЈА
Б2 - МАРИНКО
Б3 - ЖАБА
Б4 - КИША
 Б - БАРА
В1 - НЕВЕСТА
В2 - НЕВИНОСТ
В3 - ЈАГЊЕ
В4 - РУБЉЕ
 В - БЕЛО
Г1 - ПРЕПИСАТИ
Г2 - ЛЕКОВИ
Г3 - ДИЈЕТА
Г4 - АКУПУНКТУРА
 Г - ТЕРАПИЈА
??? - БЛАТО

А1 - ПЛАВА
А2 - ГЛАВА
А3 - ФАРБА
А4 - РЕП
 А - КОСА
Б1 - ГЕОМЕТРИЈА
Б2 - ОРГАНИЗАМ
Б3 - ФИГУРА
Б4 - ДУХ
 Б - ТЕЛО
В1 - РУСИЈА
В2 - ДРВО
В3 - БЕЛА
В4 - БЕТУЛА
 В - БРЕЗА
Г1 - НАЈЛОН
Г2 - ЧИПС
Г3 - КОКИЦЕ
Г4 - АМБАЛАЖА
 Г - КЕСИЦА
??? - ШАМПОН
