6008. емисија
90. циклус
38. емисија
25. 07. 2015.
www.youtube.com/watch?v=3wZ6kb-rIxo

А1 - ТЕХНОЛОШКИ
А2 - НЕПРОМИШЉЕНИ 
А3 - ДИСЦИПЛИНСКИ
А4 - СТЕЧАЈНИ 
 А - ПОСТУПАК
Б1 - ПРАВО
Б2 - ПРИЈАВА
Б3 - ПРИЗНАТИ
Б4 - ВИНОСТ
 Б - КРИВИЦА
В1 - СТИЛ
В2 - ИНСТИТУТ
В3 - МЕТОД
В4 - ТЕРМИН
 В - НАУЧНИ
Г1 - ШТИТ
Г2 - ЗИД
Г3 - КРЕЧ
Г4 - СВЕТ
 Г - ЖИВИ
??? - ДОКАЗ

А1 - ПОЗИВ
А2 - СПАСАВАЊЕ
А3 - ПОЖАР
А4 - МЕРДЕВИНЕ
 А - ВАТРОГАСЦИ
Б1 - ЛУКА
Б2 - РОБА
Б3 - ПРАЖЊЕЊЕ
Б4 - ИСКРЦАВАЊЕ
 Б - ИСТОВАР
В1 - ВЕНЧАНИЦА
В2 - СЛУЖБА
В3 - РЕМОРКЕР
В4 - ВУЧА
 В - ШЛЕП
Г1 - КАМП
Г2 - ТРАКТОР
Г3 - КУКА
Г4 - ПРИКЉУЧАК
 Г - ПРИКОЛИЦА
??? - КАМИОН
