7172. емисија
109. циклус
43. емисија
16. 12. 2018.
www.youtube.com/watch?v=hTDdNOzUe8k

А1 - ГОВЕЂА
А2 - БИСТРА
А3 - КНЕДЛЕ
А4 - РЕЗАНЦИ
 А - СУПА
Б1 - ЧЕТКА
Б2 - КАНАЂАНКЕ
Б3 - ШИМИКЕ
Б4 - МОКАСИНЕ
 Б - ЦИПЕЛЕ
В1 - ШЕЋЕР
В2 - ЏЕЗВА
В3 - МЛЕКО
В4 - МЛИН
 В - КАФА
Г1 - ГОРА
Г2 - СТОПАЛА
Г3 - НОГА
Г4 - ЗЕМЉА
 Г - РАВНА
??? - КАШИКА

А1 - ХИСАР
А2 - ДУБОЧИЦА
А3 - МУЋКАЛИЦА
А4 - РОШТИЉИЈАДА
 А - ЛЕСКОВАЦ
Б1 - ПОПЕЧИТЕЉ
Б2 - ВЕЗИР
Б3 - ПОРТФЕЉ
Б4 - ФОТЕЉА
 Б - МИНИСТАР
В1 - ЦРВЕНА
В2 - ПАРТИЈСКА
В3 - ЂАЧКА
В4 - РАДНА
 В - КЊИЖИЦА
Г1 - ПОПРАВНИ
Г2 - ОГЊИШТЕ
Г3 - ВЕШАЊЕ
Г4 - СИВИ
 Г - ДОМ
??? - ЗДРАВЉЕ
