5793. емисија
87. циклус
6. емисија
22. 12. 2014.
www.youtube.com/watch?v=AIVqYnb6mIo

А1 - ИГРАЛИШТЕ
А2 - СПРАВА
А3 - АКВАПАРК
А4 - МУЗИЧКИ
 А - ТОБОГАН
Б1 - ПАРКИНГ
Б2 - ПУТАРИНА
Б3 - ГРАНИЦА
Б4 - БРАНИК
 Б - РАМПА
В1 - ЗИМА
В2 - МОТОР
В3 - ИРВАСИ
В4 - ПРЕВОЗ
 В - САНКЕ
Г1 - ВРШАЦ
Г2 - ЧАРОБНИ
Г3 - МУХАМЕД
Г4 - РЕЉЕФ
 Г - БРЕГ
??? - СПУШТАЊЕ

А1 - ИГРА 
А2 - ПРИЧЕ
А3 - КЛИНЦИ
А4 - МАЛА
 А - ДЕЦА
Б1 - БЕЛИ
Б2 - СТРАНА
Б3 - ЖИВИ
Б4 - ТРЕЋИ
 Б - СВЕТ
В1 - ЗМИЈА
В2 - ОРНАМЕНТ
В3 - МРАЗ
В4 - ПРОЗОРИ
 В - ШВАБА
Г1 - КРЕМ
Г2 - ДОБОШ
Г3 - КОРА
Г4 - ШЛАГ
 Г - ТОРТА
??? - УКРАС
