5633. емисија
84. циклус
29. емисија
31. 05. 2014.
www.youtube.com/watch?v=OeEJ1mg-WQs

А1 - ТЕРИТОРИЈА
А2 - ЈЕДИНИЦА
А3 - СЕДИШТЕ
А4 - КАТАСТАР
 А - ОПШТИНА
Б1 - СПОРА
Б2 - ДОСТИЖНА
Б3 - ЈУСТИЦИЈА
Б4 - ПАЛАТА
 Б - ПРАВДА
В1 - ПРЕНОС
В2 - МЕЧ
В3 - ДЕРБИ 
В4 - ОДЛУЧУЈУЋА
 В - УТАКМИЦА
Г1 - БЕЛА
Г2 - ЖУТА
Г3 - СВЕСКА
Г4 - ПУНА
 Г - ЛИНИЈА
??? - СУДИЈА

А1 - ГЕОМЕТРИЈСКО ТЕЛО
А2 - ОБЛИЦА
А3 - МОТОР
А4 - ВАЉАК
 А - ЦИЛИНДАР
Б1 - ПОЈАС
Б2 - ХОРОСКОП
Б3 - САЗВЕЖЂА
Б4 - ЗНАК
 Б - ЗОДИЈАК
В1 - ХАЉИНА
В2 - УПРАВЉАЧ
В3 - АУТОМОБИЛ
В4 - СИРЕНА
 В - ВОЛАН
Г1 - ЗУБ
Г2 - УБОД
Г3 - ДРВА
Г4 - ЛИСТ
 Г - ТЕСТЕРА
??? - КРУГ
