6212. емисија
93. циклус
59. емисија
28. 02. 2016.
www.youtube.com/watch?v=4Y9L2xV1EAI

А1 - КИША
А2 - МАГЛА
А3 - ЛИШЋЕ
А4 - СОНАТА
 А - ЈЕСЕН
Б1 - КОСМОС
Б2 - ВАСИОНА
Б3 - СВЕМИР
Б4 - САБОР
 Б - ВАСЕЉЕНА
В1 - МИНЧИЋ
В2 - УГРИНОВ
В3 - ВУИСИЋ
В4 - БЕЉАНСКИ
 В - ПАВЛЕ
Г1 - РЕКА
Г2 - ГРАД
Г3 - БОЉШОЈ ТЕАТАР
Г4 - СПАРТАК
 Г - МОСКВА
??? - ПАТРИЈАРХ

А1 - РОГ
А2 - КЊИГА
А3 - ОЧИ
А4 - ТОРБА
 А - ГЛАВА
Б1 - ЦРВЕНО
Б2 - КОРИДА
Б3 - СНАГА
Б4 - ХОРОСКОП
 Б - БИК
В1 - ДЕВОЈКЕ
В2 - НЕУДАТЕ
В3 - МИЛОСТИВЕ
В4 - МЛАДЕ
 В - ГОСПОЂИЦЕ
Г1 - ФРАНЦУСКА
Г2 - ГРАД 
Г3 - СЕДИШТЕ
Г4 - ПАПА
 Г - АВИЊОН
??? - ПАБЛО ПИКАСО
