5617. емисија
84. циклус
13. емисија
15. 05. 2014.
www.youtube.com/watch?v=1-wh66cuW0s

А1 - ТОПЛА
А2 - ТЕШКА
А3 - МЕКА
А4 - ХЛАДНА
 А - ВОДА
Б1 - ОРУЖЈЕ
Б2 - МАГАЦИН
Б3 - РОБА
Б4 - ЧУВАЊЕ
 Б - СКЛАДИШТЕ
В1 - ШКОЉКА
В2 - ОПРЕМА
В3 - ДЕЛОВИ
В4 - КЉУЧЕВИ
 В - АУТОМОБИЛ
Г1 - ТОЧЕЊЕ
Г2 - ПУМПА
Г3 - ЧВРСТО
Г4 - ФОСИЛ
 Г - ГОРИВО
??? - РЕЗЕРВОАР

А1 - ПОЧЕТАК
А2 - БОЖЈА
А3 - ЧАСНА
А4 - ЛЕПА
 А - РЕЧ
Б1 - НОМИНАТИВ
Б2 - АБЛАТИВ
Б3 - ПРОМЕНА
Б4 - ПРЕДЛОЗИ
 Б - ПАДЕЖ
В1 - СПРЕГА
В2 - КАРТА
В3 - ИНФОРМАЦИЈА
В4 - РЕАКЦИЈА
 В - ПОВРАТНА
Г1 - ГРАДИВНИ
Г2 - ОПИСНИ
Г3 - КОМПАРАЦИЈА
Г4 - АТРИБУТ
 Г - ПРИДЕВ
??? - ЗАМЕНИЦА
