5828. емисија
87. циклус
41. емисија
26. 01. 2015.
www.youtube.com/watch?v=viIbXEJi1mA

А1 - ИНДИЈАНЦИ
А2 - ЦРНА ГОРА
А3 - ЈЕВРЕЈИ
А4 - ПОГЛАВИЦА
 А - МАПЕ
Б1 - РИБА
Б2 - ЕЧКА
Б3 - "ПИЈАНИ"
Б4 - ТОВЉЕНИ
 Б - ШАРАН
В1 - ЦЕЛУЛОИД
В2 - ОПНА
В3 - ЛИМИЈЕР
В4 - УМЕТНОСТ
 В - ФИЛМ
Г1 - ГЛУМАЦ
Г2 - ЕКСЦЕНТРИК
Г3 - БУНТОВНИК
Г4 - КУМ
 Г - МАРЛОН БРАНДО
??? - ДИВЉАК

А1 - МОТОР
А2 - ПОРОДИЦА
А3 - ЕКСЕР
А4 - ШЕЋЕР
 А - ГАЛВА
Б1 - СТРАЖА
Б2 - СЕФ
Б3 - ДЕЦА
Б4 - ОСТАВА
 Б - ЧУВАЊЕ
В1 - ВУНА
В2 - ПАСТИР
В3 - КАПА
В4 - КРЗНО
 В - ШУБАРА
Г1 - АУТОМОБИЛ
Г2 - МАЈСТОР
Г3 - ОТКЛАЊАЊЕ
Г4 - ПОПРАВКА
 Г - КВАР
??? - ЧИЗМА
