7288. емисија
113. циклус
6. емисија
11. 04. 2019.
www.youtube.com/watch?v=s-hUcdcDvJo

А1 - ХОТЕЛ
А2 - МЕТРО
А3 - ЛОМОНОСОВ
А4 - КРЕМЉ
 А - МОСКВА
Б1 - ИЛИНДЕН
Б2 - ТАКОВО
Б3 - ОРАШАЦ
Б4 - ХЕРЦЕГОВИНА
 Б - УСТАНАК
В1 - "БЕРИ ЛОНДОН"
В2 - "СТАЗЕ СЛАВЕ"
В3 - "ЛОЛИТА"
В4 - "ИСИЈАВАЊЕ"
 В - СТЕНЛИ КЈУБРИК
Г1 - СИНАГОГА
Г2 - БАЧКА
Г3 - ПАЛИЋ
Г4 - ДАНИЛО КИШ
 Г - СУБОТИЦА
??? - СПАРТАК

А1 - МОДА
А2 - ТРОУГАО
А3 - НАПИТАК
А4 - ПЛАТОН
 А - ЉУБАВ
Б1 - АПАРАТ
Б2 - ТЕКСАС
Б3 - БОЈА
Б4 - КАЗИНО
 Б - ПОКЕР
В1 - ВУНА
В2 - УДАРНИК
В3 - НАЈЛОН
В4 - ПАМУК
 В - ЧАРАПЕ
Г1 - ЛАКАТ
Г2 - СТО
Г3 - МЕЧ
Г4 - МРЕЖА
 Г - ТЕНИС
??? - ПАР
