6125. емисија
92. циклус
33. емисија
03. 12. 2015.
www.youtube.com/watch?v=CMhFlNoQtB4

А1 - ПОШТЕНИ
А2 - ЛОЈАЛНИ
А3 - ЗБОР
А4 - ЦИВИЛИ
 А - ГРАЂАНИ
Б1 - ЛИНИЈА
Б2 - СРЕМ
Б3 - СОЛУН
Б4 - ИСТОК
 Б - ФРОНТ
В1 - КИРКУК
В2 - БАГДАД
В3 - НАФТА
В4 - МОСУЛ
 В - ИРАК
Г1 - АЈАТОЛАХ
Г2 - ПЕРСИЈА
Г3 - ШИРАЗ
Г4 - ТАБРИЗ
 Г - ИРАН
??? - РАТ

А1 - ЧИСТ
А2 - УКАЉАН
А3 - ЧАСТ
А4 - РУМЕН 
 А - ОБРАЗ
Б1 - ГРАЂАНИН
Б2 - БЕЗ УНИФОРМЕ
Б3 - ВОЈНИ РОК
Б4 - ЗАШТИТА
 Б - ЦИВИЛ 
В1 - ВЕНЧАНИЦА
В2 - МИСТЕРИЈА
В3 - ЗАР
В4 - УДОВИЦА
 В - ВЕО
Г1 - СУД
Г2 - ИСТЕРИВАЊЕ
Г3 - СПОРА
Г4 - ДОСТИЖНА
 Г - ПРАВДА
??? - ЛИЦЕ
