6854. емисија
104. циклус
30. емисија
31. 01. 2018.
www.youtube.com/watch?v=uqBw3KrbUx0

А1 - ФАБРИКА
А2 - ВИСОКИ
А3 - ПАРОБРОД
А4 - ОЏАЧАР
 А - ДИМЊАК
Б1 - ПОЉЕ
Б2 - ТОРАЊ
Б3 - МРЉА
Б4 - ЕНЕРГЕНТ
 Б - НАФТА
В1 - ТЕРМОАКУМУЛАИЦОНА
В2 - СКРАЋЕНИЦА
В3 - ТАНТАЛ
В4 - ОЗНАКА
 В - ТА
Г1 - ВИНО
Г2 - ПАЛАНКА
Г3 - ТВРЂАВА
Г4 - ЈЕРИНА
 Г - СМЕДЕРЕВО
??? - ПЕЋ

А1 - ДРУШТВО
А2 - НАУКА
А3 - ТОЧАК
А4 - ПРОШЛОСТ
 А - ИСТОРИЈА
Б1 - ТРГ
Б2 - АУТОБУС
Б3 - ВОДОВОД
Б4 - ОЦИ
 Б - ГРАДСКИ
В1 - СВЕЋА
В2 - ТОПЉЕЊЕ
В3 - ПЧЕЛА
В4 - ДЕПИЛАЦИЈА
 В - ВОСАК
Г1 - БАЛЕТ
Г2 - КАДРИЛ
Г3 - ШАХ
Г4 - СТИЛ
 Г - ФИГУРЕ
??? - МУЗЕЈ
