7299. емисија
113. циклус
17. емисија
22. 04. 2019.
www.youtube.com/watch?v=Mj5haSydKok

А1 - БЕРЗА
А2 - ЛИСТА
А3 - ХРОНИКА
А4 - УДОВИЦА
 А - ЦРНА
Б1 - ТРАНСПОРТ
Б2 - ВОЈСКА
Б3 - ЕЛИСА
Б4 - АПАЧ
 Б - ХЕЛИКОПТЕР
В1 - ПУПИН
В2 - БЕШКА
В3 - ПЕШАК
В4 - СТУБ
 В - МОСТ
Г1 - КАРНЕВАЛ
Г2 - ФАРМА
Г3 - СВЕТ
Г4 - ИНСТИНКТ
 Г - ЖИВОТИЊА
??? - ГАЗЕЛА

А1 - БОЖУР
А2 - БАШТА
А3 - РЕВЕР
А4 - ТРГ
 А - ЦВЕТ
Б1 - ПОСАО
Б2 - ОПЕРАТЕР
Б3 - СЛУЖБЕНИ
Б4 - ГОЈА
 Б - РАЗГОВОР
В1 - НОГА
В2 - ВОДА
В3 - СТЕЗНИК
В4 - НАРАШТАЈ
 В - КОЛЕНО
Г1 - ЉУТА
Г2 - МЕКА
Г3 - ШЉИВА
Г4 - ОБЛОГ
 Г - РАКИЈА
??? - ЧАШИЦА
