5884. емисија
88. циклус
36. емисија
23. 03. 2015.
www.youtube.com/watch?v=QgfLA9mqY1c

А1 - КОРЊАЧА
А2 - КРОКОДИЛ
А3 - ЗМИЈА
А4 - РЕПТИЛ
 А - ГМИЗАВАЦ
Б1 - ЂАВО
Б2 - КРАВА
Б3 - ПАУН
Б4 - МАХАЊЕ
 Б - РЕП 
В1 - ЛЕЖАЉКА
В2 - СОЛАРИЈУМ
В3 - ПРЕПЛАНУЛИ
В4 - КРЕМА
 В - СУНЧАЊЕ
Г1 - УНИФОРМА
Г2 - ПУШКА
Г3 - ЦОКУЛЕ
Г4 - ШВЕЈК
 Г - ВОЈНИК
??? - ГУШТЕР

А1 - ОЦЕНА
А2 - РОК
А3 - ПРИЈЕМ
А4 - ПОЛАГАЊЕ
 А - ИСПИТ
Б1 - КРАЉЕВИЋ
Б2 - ДАНСКА
Б3 - ШЕКСПИР
Б4 - ТРАГЕДИЈА 
 Б - ХАМЛЕТ
В1 - САОБРАЋАЈ
В2 - ХОРОСКОП
В3 - КАРТЕ
В4 - МОРЗЕ
 В - ЗНАК
Г1 - СТРАНА
Г2 - СУНЦЕ
Г3 - Е
Г4 - БЛИСКИ
 Г - ИСТОК
??? - ПИТАЊЕ
