6492. емисија
98. циклус
34. емисија
03. 02. 2017.
www.youtube.com/watch?v=2bn4WJmSA2w


А1 - ИЋИ
А2 - ЧУВАТИ
А3 - ГЛАГОЛ
А4 - БЕЗЛИЧАН
 А - ИНФИНИТИВ
Б1 - ОПТЕРЕЋЕЊЕ
Б2 - ТРАКАСТИ
Б3 - КАМЕН
Б4 - ОСЛОНАЦ
 Б - ТЕМЕЉ
В1 - КИСЕЛИНА
В2 - БЕЈЗБОЛ
В3 - ПАРТИЗАНИ
В4 - ПОДАЦИ
 В - БАЗА
Г1 - ПИЦА
Г2 - ТЕРЕН
Г3 -ТЕНИС
Г4 - ЗА "МИША"
 Г - ПОДЛОГА
??? - ОСНОВА

А1 - ГЕОГРАФСКО
А2 - НАУЧНО
А3 - ЕПОХАЛНО
А4 - ПРОНАЛАЗАК
 А - ОТКРИЋЕ
Б1 - ПОСТЕЉИНА
Б2 - ТКАНИНА
Б3 - СИРОВО
Б4 - УЉЕ
 Б - ПЛАТНО
В1 - НОГА
В2 - ТАБАН
В3 - ПРСТИ
В4 - АТЛЕТСКО
 В - СТОПАЛО
Г1 - ПРОМЕТ
Г2 - РОБА
Г3 - КУПОВИНА
Г4 - ПРОДАЈА
 Г - ТРГОВИНА
??? - ВЕЛИКО
