6162. емисија
93. циклус
9. емисија
09. 01. 2016.
www.youtube.com/watch?v=FNgX83jePOw

А1 - СТРПЉЕЊЕ
А2 - ЦАРИНА
А3 - ПРЕЛАЗ
А4 - КАРАУЛА
 А - ГРАНИЦА
Б1 - БАЦАЊЕ
Б2 - СО
Б3 - БУБРЕГ
Б4 - СИЗИФ
 Б - КАМЕН
В1 - ПАРЦЕЛА
В2 - ЗЕМЉА
В3 - ОРАЊЕ
В4 - ЖЕТВА
 В - ЊИВА
Г1 - ЈУЖНИ
Г2 - СРЕДЊИ
Г3 - СЕВЕРНИ
Г4 - РУМУНИЈА
 Г - БАНАТ
??? - МЕЂА

А1 - ЛАНАЦ
А2 - ПЛАНИНА
А3 - ТРКЕ
А4 - КИНА
 А - БИЦИКЛ
Б1 - ШКОЉКА
Б2 - ОСИГУРАЊЕ
Б3 - КАРАВАН
Б4 - СЕРВИС
 Б - АУТОМОБИЛ
В1 - МОСТ
В2 - АЗОТАРА
В3 - ЗАГАЂИВАЊЕ
В4 - РИТ
 В - ПАНЧЕВО
Г1 - МАЛИ ПАРИЗ
Г2 - ВЛАШКА
Г3 - ПРЕСТОНИЦА
Г4 - БАЛКАН
 Г - БУКУРЕШТ
??? - ДИНАМО
