6167. емисија
93. циклус
14. емисија
14. 01. 2016.
www.youtube.com/watch?v=m4Yngmc5V8k

А1 - ХЛЕБ
А2 - ЗЕМЉА
А3 - ЛУБЕНИЦА
А4 - ЛИМУН
 А - КОРА
Б1 - БАРУТ
Б2 - ПУСТИЊА
Б3 - ДЕСТИЛАЦИЈА
Б4 - ДРЕНОВИНА
 Б - СУВА
В1 - ЗРЕЛА
В2 - ТРУЛА
В3 - РАЗДОР
В4 - КИСЕЛА
 В - ЈАБУКА
Г1 - КОНТИНЕНТ
Г2 - ПЛАКАР
Г3 - САН
Г4 - ГРАФИТИ
 Г - АМЕРИКА
??? - ПИТА

А1 - ЕНГЛЕСКА
А2 - ТИТУЛА
А3 - ГОРЊИ ДОМ
А4 - ГРЕЈСТОК
 А - ЛОРД
Б1 - МОТИКА
Б2 - ИГРЕ
Б3 - ПЕКАРА
Б4 - СО
 Б - ХЛЕБ 
В1 - ПРЕСА
В2 - ЦРЕВО
В3 - ДИМ
В4 - ПРАГ
 В - ШУНКА
Г1 - МАДЕРА
Г2 - БАХАМИ
Г3 - МАЛДИВИ
Г4 - КОРНАТИ
 Г - ОСТРВА
??? - СЕНДВИЧ
