5791. емисија
87. циклус
4. емисија
20. 12. 2014.
www.youtube.com/watch?v=ZRJcvmmfhtg

А1 - СВИЛА
А2 - ШВАБА
А3 - ГЛАВА
А4 - БИТЛСИ
 А - БУБЕ
Б1 - МАШИНА
Б2 - КОНОПАЦ
Б3 - ПРАЊЕ
Б4 - ПРЉАВИ
 Б - ВЕШ
В1 - ЧИСТОЋА
В2 - ТЕРАЗИЈЕ
В3 - РЕЦЕПТ
В4 - ЛЕК
 В - АПОТЕКА
Г1 - ОСЕЋАЈ
Г2 - ТУГА
Г3 - ЉУБАВНИ
Г4 - БРАЧ
 Г - БОЛ
??? - ПРАШАК

А1 - БАЛ
А2 - БРЕТЕЛЕ
А3 - ШЛЕП
А4 - ВЕНЧАНИЦА
 А - ХАЉИНА
Б1 - РУПЕ
Б2 - ТРАВА
Б3 - ПАЛИЦА
Б4 - СТРУЈА
 Б - ГОЛФ
В1 - ПИЈАЦА
В2 - ПРОДАВНИЦА
В3 - ТРЖИШТЕ
В4 - СУПЕР
 В - МАРКЕТ
Г1 - РУРК
Г2 - МЕЋАВА
Г3 - МАНОЈЛОВИЋ
Г4 - МАУС
 Г - МИКИ
??? - МИНИ
