6476. емисија
98. циклус
18. емисија
18. 01. 2017.
www.youtube.com/watch?v=RlbOi9pMYS0

А1 - ДОЛИНА
А2 - ЈОРГОВАНИ
А3 - КЛИСУРА
А4 - РЕКА
 А - ИБАР
Б1 - ПЛАВИ
Б2 - МОРЕ
Б3 - АДРИАТИК
Б4 - ХЕРЦЕГ НОВИ
 Б - ЈАДРАН
В1 - ДЕОНИЦА
В2 - СМЕР
В3 - СПОРЕДНИ
В4 - РАДОВИ
 В - ПУТ
Г1 - ПРОГРАМ
Г2 - ЕРА
Г3 - ГЕНЕРАЦИЈА
Г4 - КУЋИШТЕ
 Г - РАЧУНАР
??? - МАГИСТРАЛА

А1 - БОГОЈАВЉЕЊЕ
А2 - СТРАНАЦ
А3 - ПТИЦА
А4 - ТИХА
 А - НОЋ
Б1 - ЈАЧИНА
Б2 - БРЗИНА
Б3 - ФЛУКС
Б4 - КАНДЕЛА
 Б - СВЕТЛОСТ
В1 - ПЕСМА
В2 - ЉУБАВНА
В3 - ПРОЗОР
В4 - ДРАГАНА
 В - СЕРЕНАДА
Г1 - САРАЈЕВО
Г2 - КАЛАШЊИКОВ
Г3 - АЛКОХОЛ
Г4 - ГИТАРА
 Г - ГОРАН БРЕГОВИЋ
??? - МЕСЕЧИНА
