6061. емисија
90. циклус
30. емисија
30. 09. 2015.
www.youtube.com/watch?v=BuuKXFZN270
А1 - КОТАО
А2 - БОЈЛЕР
А3 - ДУНАВ
А4 - ЧОРБА
 А - КАЗАН
Б1 - БИЉКА
Б2 - ЦИГАРЕТА
Б3 - НИКОТИН
Б4 - ЖВАКАЊЕ
 Б - ДУВАН
В1 - ДИМ
В2 - ХАМБУРГ
В3 - КАЧАРЕВО
В4 - СВИЊА
 В - СЛАНИНА
Г1 - ЗАДАТАК
Г2 - КУЋНИ
Г3 - ГОСТИ
Г4 - ТЕРЕН
 Г - ДОМАЋИ
??? - ЧВАРЦИ

А1 - ТУРНИР
А2 - КОЈА
А3 - КРСТАШ
А4 - ОКРУГЛИ СТО
 А - ВИТЕЗ
Б1 - ГМИЗАВАЦ
Б2 - АХИЛ
Б3 - ГАЛАПАГОС
Б4 - СПОРОСТ
 Б - КОРЊАЧА
В1 - КЛЕШТА
В2 - РАНА
В3 - СЕБАСТИЈАН
В4 - ОБРАТНИЦА
 В - РАК
Г1 - ПЕРОН
Г2 - ПРУГА
Г3 - ЋИРА
Г4 - СИМПЛОН
 Г - ВОЗ
??? - ОКЛОП
