6583. емисија
100. циклус
3. емисија
05. 05. 2017.
www.youtube.com/watch?v=00OH6SV5NGE

А1 - ГРАНА
А2 - СЕСТРА
А3 - ЗДРАВСТВО
А4 - РАД
 А - МЕДИЦИНА
Б1 - САЛОН
Б2 - ПРЕПАРАТ
Б3 - СРЕДСТВА
Б4 - НЕГА
 Б - КОЗМЕТИКА
В1 - ПРИЛОГ
В2 - МЕТОД
В3 - МАНИР
В4 - ЗАПОВЕДНИ
 В - НАЧИН
Г1 - НАРОЧИТ
Г2 - ОСОБИТ
Г3 - ИЗУЗЕТАН
Г4 - СПЕЦИЈАЛАН
 Г - ПОСЕБАН
??? - ТРЕТМАН

А1 - КВАР
А2 - ДИСБАЛАНС
А3 - ХОРМОНСКИ
А4 - ДУШЕВНИ
 А - ПОРЕМЕЋАЈ
Б1 - ЛИЦЕ
Б2 - Н.Н.
Б3 - ОД ПОВЕРЕЊА
Б4 - ОД УГЛЕДА
 Б - ОСОБА
В1 - ИНДИВИДУАЛНОСТ
В2 - ОСОБЕНОСТ
В3 - КРИЗА 
В4 - НАЦИОНАЛНОСТ
 В - ИДЕНТИТЕТ
Г1 - УЛИЦА
Г2 - УЛОГА
Г3 - СТАНИЦА
Г4 - ГЕНЕРАЛНА
 Г - ГЛАВНА
??? - ЛИЧНОСТ
