5631. емисија
84. циклус
27. емисија
29. 05. 2014.
www.youtube.com/watch?v=HO5tiIPqyr0

А1 - ПОРТРЕТ
А2 - ПЕЈЗАЖ
А3 - ИЗЛОЖБА
А4 - ПРИЛИКА
 А - СЛИКА
Б1 - ОРЕОЛ
Б2 - ТРОПАР
Б3 - СЛАВА
Б4 - МОШТИ
 Б - СВЕТАЦ
В1 - МИШ
В2 - МРЕЖА
В3 - МЕМОРИЈА
В4 - ПРОЦЕСОР
 В - РАЧУНАР
Г1 - ОЛТАР
Г2 - БРОД
Г3 - КАЛЕНДАР
Г4 - ЗВОНО
 Г - ЦРКВА
??? - ИКОНА

А1 - ЧИЗМА
А2 - ШИЊЕЛ
А3 - КАСАРНА
А4 - ШВЕЈК
 А - ВОЈНИК
Б1 - АТРАКЦИЈА
Б2 - КЛОВН
Б3 - БАРНУМ
Б4 - ЛЕТЕЋИ
 Б - ЦИРКУС
В1 - ПТИЦА
В2 - АВИОН
В3 - АНЂЕО
В4 - ПЛУЋА
 В - КРИЛО
Г1 - МАРШ
Г2 - КУПУС
Г3 - ВЕСЕЉЕ
Г4 - ВЕНЧАЊЕ
 Г - СВАДБА
??? - ШАТОР
