6861. емисија
104. циклус
37. емисија
07. 02. 2018.
www.youtube.com/watch?v=QyI9kuc5ZrE

А1 - РИБОЛОВ
А2 - РАДНА
А3 - УРБАНИСТИЧКА
А4 - ВОЗАЧКА
 А - ДОЗВОЛА
Б1 - КУМ
Б2 - ПРСТЕН
Б3 - ЦРКВА
Б4 - МАТИЧАР
 Б - ВЕНЧАЊЕ
В1 - ЕЛЕКТРАНА
В2 - ФИЗИКА
В3 - ФИСИЈА
В4 - ФУЗИЈА
 В - НУКЛЕАРНА
Г1 - МНОЖЕЊЕ
Г2 - ЛОГАРИТМИ
Г3 - МОЈСИЈЕ
Г4 - РЕГИСТРАЦИЈА
 Г - ТАБЛИЦЕ
??? - ПРОБА

А1 - ПАДОБРАН
А2 - КЕНГУР
А3 - ВИС
А4 - ДАЉ
 А - СКОК
Б1 - КРУГ
Б2 - МЕТА
Б3 - ПОГОДАК
Б4 - КОНГРЕСНИ
 Б - ЦЕНТАР
В1 - МРЕЖА
В2 - ПРЕЧКА
В3 - СТАТИВА
В4 - ЗЛАТНИ
 В - ГОЛ
Г1 - ИНДУСТРИЈСКИ
Г2 - РАДИОАКТИВНИ
Г3 - РЕЦИКЛАЖА
Г4 - ДЕПОНИЈА
 Г - ОТПАД
??? - ШУТ
