6772. емисија
103. циклус
9. емисија
10. 11. 2017.
www.youtube.com/watch?v=_aDSsBDAjrA

А1 - ДРАКУЛА
А2 - БАНАТ
А3 - ЕРДЕЉ
А4 - ЦРНО МОРЕ
 А - РУМУНИЈА
Б1 - МОРАВА
Б2 - ЗЛАТИБОР
Б3 - ХОМОЉЕ
Б4 - ДРЖАВА
 Б - СРБИЈА
В1 - ЈЕЛОУСТОУН
В2 - ПЛИТВИЦЕ
В3 - ПЕРУЋИЦА
В4 - ЗАШТИЋЕНИ
 В - НАЦИОНАЛНИ ПАРК
Г1 - ПАКАО
Г2 - РАКИЈА
Г3 - МАСТ
Г4 - ПАСУЉ
 Г - КАЗАН
??? - ЂЕРДАП

А1 - ВРТИЋ
А2 - ЦРТАНИ
А3 - БРИГА
А4 - РАДОСТ
 А - ДЕЦА
Б1 - МРТВА
Б2 - ВОЈСКА
Б3 - СМЕНА
Б4 - ПОЧАСТ
 Б - СТРАЖА
В1 - ОДАЈА
В2 - ПОЛИЦИЈА
В3 - СЛУЖБА
В4 - ВЕЧЕРА
 В - ТАЈНА
Г1 - ТРЕЗОР
Г2 - БАНКА
Г3 - ЗИД
Г4 - ШИФРА
 Г - СЕФ
??? - ЧУВАЊЕ
