5977. емисија
90. циклус
7. емисија
24. 06. 2015.
www.youtube.com/watch?v=VjAaE_GtZ98

А1 - ОРУЂЕ
А2 - МЕРЕЊЕ
А3 - ЛИМЕНИ
А4 - ЖИЧАНИ
 А - ИНСТРУМЕНТ
Б1 - СТАНИЦА
Б2 - КОНДУКТЕР
Б3 - СПРАТ
Б4 - СЕДИШТЕ
 Б - АУТОБУС
В1 - ДАСКА
В2 - ОГРАДА
В3 - ВОЛАН
В4 - ПИЈАН
 В - ЛЕТВА
Г1 - ВИЛОВИТО
Г2 - ПЛАХОВИТО
Г3 - НАПЛЕТЕНО
Г4 - НАВЕЗЕНО
 Г - КОЛО
??? - ХАРМОНИКА

А1 - СНЕГ
А2 - СКОК
А3 - СПУСТ
А4 - ШТАПОВИ
 А - СКИЈАЊЕ
Б1 - УСПЕХ
Б2 - НАДМОЋ
Б3 - ПОБЕДА
Б4 - ПОТПУНИ
 Б - ТРИЈУМФ
В1 - ГРАД
В2 - ГОРЊА
В3 - ЂАВОЉА
В4 - НОВА
 В - ВАРОШ
Г1 - ЛИГА
Г2 - СЛОВЕНСКИ
Г3 - РОМАНСКИ
Г4 - ГЕРМАНСКИ
 Г - НАРОДИ
??? - КАПИЈА
