5923. емисија
89. циклус
14. емисија
01. 05. 2015.
www.youtube.com/watch?v=oD72dS3st3s

А1 - ГОЛ
А2 - ОДБРАНА
А3 - МАЖИНО
А4 - БЕЛА
 А - ЛИНИЈА
Б1 - ЧАРАПЕ
Б2 - ИГРАЧКА
Б3 - ОБРТАЊЕ
Б4 - ОБРУЧ
 Б - ХУЛА-ХОП
В1 - РУКОМЕТ
В2 - ОДБОЈКА
В3 - ФУДБАЛ
В4 - ЗЕМЉА
 В - ЛОПТА
Г1 - НАПРЕД
Г2 - НАЗАД
Г3 - СИР
Г4 - ДИМ
 Г - КОЛУТ
??? - КРУГ

А1 - РЕПРЕЗЕНТАЦИЈА
А2 - ЈАВНИ
А3 - ТРЕМА
А4 - ДЕВИТАНТСКИ
 А - НАСТУП
Б1 - ВИДЕНОВИЋ
Б2 - САЛВАДОР ДАЛИ
Б3 - ИМЕ
Б4 - СВЕЧАНО
 Б - ГАЛА
В1 - ПОЈАЧАЛА
В2 - МИКСЕТЕ
В3 - ЗВУЧНИЦИ
В4 - СИСТЕМ
 В - ОЗВУЧЕЊЕ
Г1 - САСТАНЦИ
Г2 - ПРОСТОРИЈА
Г3 - ПОРОЂАЈ
Г4 - ФИЗИЧКО
 Г - САЛА
??? - КОНЦЕРТ
