6824. емисија
103. циклус
61. емисија
01. 01. 2018.
www.youtube.com/watch?v=EImTnKNoXrg

А1 - ОСА
А2 - ЗЕМЉА
А3 - ЧИГРА
А4 - ОКРЕТАЊЕ
 А - РОТАЦИЈА
Б1 - БЕРМУДИ
Б2 - ПАСКАЛ
Б3 - ПИТАГОРА
Б4 - ОРТОЦЕНТАР
 Б - ТРОУГАО
В1 - МАТИЦА
В2 - КОРИТО
В3 - ДЕЛТА
В4 - РОМАН
 В - РЕКА
Г1 - БОГ
Г2 - КОВАЧ
Г3 - ЛАВА
Г4 - ЕРУПЦИЈА
 Г - ВУЛКАН
??? - КУПА

А1 - КЛАС
А2 - ПОЉЕ
А3 - ЖЕТВА
А4 - АМБАР
 А - ЖИТО
Б1 - УРЕЂАЈ
Б2 - ОСМАТРАЊЕ
Б3 - КОНТРОЛА
Б4 - БРЗИНА
 Б - РАДАР
В1 - НЕОН
В2 - СУНЦЕ
В3 - ФОТОН
В4 - ГОДИНА
 В - СВЕТЛОСТ
Г1 - ДИСК
Г2 - ШТАМПАЧ
Г3 - НАВОЂЕЊЕ
Г4 - ЗРАЦИ
 Г - ЛАСЕР
??? - СНОП
