7205. емисија
110. циклус
13. емисија
18. 01. 2019.
www.youtube.com/watch?v=aML8LkGmYBU

А1 - ШУМ
А2 - ОБРАДА
А3 - ВИЉУШКА
А4 - КАРТИЦА
 А - ЗВУК
Б1 - ПСИХО
Б2 - КРВ
Б3 - СИНТЕЗА
Б4 - НУМЕРИЧКА
 Б - АНАЛИЗА
В1 - ОПТИЧКИ
В2 - ЕЛЕКТРОНСКИ
В3 - СОЧИВО
В4 - ЛЕВЕНХУК
 В - МИКРОСКОП
Г1 - ТЕКСТИЛНИ
Г2 - ФИНАНСИЈСКИ
Г3 - ПРЕХРАМБЕНИ
Г4 - ОДБОЈКА
 Г - ТЕХНИЧАР
??? - ЛАБОРАТОРИЈА

А1 - БРОНТЕ
А2 - БУРУЏИЈА
А3 - ВИЛИЈАМС
А4 - КОВАЧ
 А - СЕСТРЕ
Б1 - ГРБИЋ
Б2 - БУЛИЋ
Б3 - УДОВИЧИЋ
Б4 - ЕЈДУС
 Б - ВАЊА
В1 - ПТИЦА
В2 - БРОД
В3 - ИВАН
В4 - СИЊИ
 В - ГАЛЕБ
Г1 - ПРОСТРАНСТВО
Г2 - СОКО
Г3 - ВУК
Г4 - КЛИМА
 Г - СТЕПА
??? - АНТОН ПАВЛОВИЧ ЧЕХОВ
