5637. емисија
84. циклус
33. емисија
04. 06. 2014.
www.youtube.com/watch?v=Znk1DK4Ww1A

А1 - РАД
А2 - ПРОИЗВОДНА
А3 - ЗАШТИТНА
А4 - НАСТАВНА
 А - СРЕДСТВА
Б1 - ЈЕЗИК
Б2 - БИНА
Б3 - СЛОБОДА
Б4 - ДРЖАТИ
 Б - ГОВОР
В1 - ПРАВИЛА
В2 - ЗНАЦИ
В3 - ПРЕКРШАЈ
В4 - ГУСТ
 В - САОБРАЋАЈ
Г1 - ПРОТОК
Г2 - ПОДАТАК
Г3 - ИЗВОР
Г4 - ОБАВЕШТЕЊЕ
 Г - ИНФОРМАЦИЈА
??? - КОМУНИКАЦИЈА

А1 - РОТАЦИЈА
А2 - АТМОСФЕРА
А3 - ЈЕЗГРО
А4 - ГЕА
 А - ЗЕМЉА
Б1 - КВАДРАТИЋ
Б2 - АР
Б3 - СТАН
Б4 - ТРАВНАТА
 Б - ПОВРШИНА
В1 - ГЕОМЕТРИЈА
В2 - МОРФОЛОГИЈА
В3 - ВАЈАЊЕ
В4 - ФИГУРА
 В - ОБЛИК
Г1 - КАРТА
Г2 - ГЕОГРАФИЈА
Г3 - ВОЈНА
Г4 - ЛЕГЕНДА
 Г - МАПА
??? - РЕЉЕФ
