6672. емисија
101. циклус
31. емисија
02. 08. 2017.
www.youtube.com/watch?v=FhLxjayKeCQ

А1 - КРАН
А2 - ЗИДАР
А3 - ЧУВАР
А4 - ИЗГРАДЊА
 А - ГРАДИЛИШТЕ
Б1 - ГРАНИЦА
Б2 - ПЕШАК
Б3 - ЗЕБРА
Б4 - ПРУГА
 Б - ПРЕЛАЗ
В1 - ТОК
В2 - СЛИВ
В3 - ДЕЛТА
В4 - АДА
 В - РЕКА
Г1 - УЖЕ
Г2 - ЧЕЛИК
Г3 - ВУЧА
Г4 - СМОТАНА
 Г - САЈЛА
??? - СКЕЛА

А1 - ОРИНОКО
А2 - КОНГО
А3 - ИРИВАДИ
А4 - АМУР
 А - РЕКА 
Б1 - ГРАДИШТЕ
Б2 - ГЛОМАЗНО
Б3 - СЛОВО
Б4 - ПОЗАМАШНО
 Б - ВЕЛИКО
В1 - ОКРУЖЕЊЕ
В2 - СТАЊЕ
В3 - ДЕЈСТВО
В4 - БОРБЕНО
 В - РАТНО
Г1 - ПАБОВИ
Г2 - СВЕТИ ПАТРИК
Г3 - ДЕТЕЛИНА
Г4 - КАФА
 Г - ИРСКА
??? - ОСТРВО
