6189. емисија
93. циклус
36. емисија
05. 02. 2016.
www.youtube.com/watch?v=vNuQV-TKnGY

А1 - ЕСПРЕСО
А2 - ПИЦА
А3 - ЧИЗМА
А4 - КАНЦОНА
 А - ИТАЛИЈА
Б1 - КОБАСИЦЕ
Б2 - ПИВО
Б3 - ДИСЦИПЛИНА
Б4 - ЕКОНОМИЈА
 Б - НЕМАЧКА
В1 - НАГЛА
В2 - ПРИРОДНА
В3 - КЛИНИЧКА
В4 - ЖИВОТ
 В - СМРТ
Г1 - СКУПОВИ
Г2 - ЕВРОПСКА
Г3 - СИНДИКАТИ
Г4 - ФИСКАЛНА
 Г - УНИЈА
??? - УЈЕДИЊЕЊЕ

А1 - СУД
А2 - КАНЦЕЛАРИЈА
А3 - КОМОРА
А4 - ДРВЕНИ
 А - АДВОКАТ
Б1 - БЕЛИ
Б2 - ПЛАВИ
Б3 - МИТ
Б4 - КРИЛА
 Б - АНЂЕО
В1 - КРОВ
В2 - ГРЕДА
В3 - ЛОВАЦ
В4 - ЈЕЛЕН
 В - РОГОВИ
Г1 - ХОБАРТ
Г2 - ОСТРВО
Г3 - АУСТРАЛИЈА
Г4 - ТИХИ ОКЕАН
 Г - ТАСМАНИЈА
??? - ЂАВО
