6469. емисија
98. циклус
11. емисија
11. 01. 2017.
www.youtube.com/watch?v=WxT_85d8BpQ

А1 - ПАТРИОТА
А2 - ПОСЛОВНИ
А3 - УГОСТИТЕЉСКИ
А4 - ОБЈЕКАТ
 А - ЛОКАЛ
Б1 - КАРТЕ
Б2 - ПРОВЕРА
Б3 - НАПЛАЋИВАЊЕ
Б4 - КАПА
 Б - КОНДУКТЕР
В1 - ИНТЕРНЕТ
В2 - ПРСТИ
В3 - ГОНЗАЛЕС
В4 - ЖЕСТОКИ
 В - БРЗИ
Г1 - РОШТИЉ
Г2 - ШПОРЕТ
Г3 - ОТПОР
Г4 - ИМПУЛС
 Г - ЕЛЕКТРИЧНИ
??? - ВОЗ

А1 - АЛАТ
А2 - БУШИЛИЦА
А3 - УМЕТАК
А4 - СПИРАЛА
 А - БУРГИЈА
Б1 - КУКУРУЗ
Б2 - ЊИВА
Б3 - МОТИКА
Б4 - КАНАЛИ
 Б - КОПАЊЕ
В1 - ШТАМПА
В2 - СЕЈАЊЕ
В3 - БРАШНО
В4 - НАХРАЊЕНО
 В - СИТО
Г1 - ШАЛТЕР
Г2 - ОКНО
Г3 - БЛЕНДА
Г4 - НОСНИ
 Г - ОТВОР
??? - РУПА
