6176. емисија
93. циклус
23. емисија
23. 01. 2016.
www.youtube.com/watch?v=p0U-Uz-agrw

А1 - ШЕФ
А2 - ПОСЛОВНИ
А3 - СТЕЧАЈНИ
А4 - ЛИКВИДАЦИОНИ
 А - УПРАВНИК
Б1 - УНИВЕРЗИТЕТ
Б2 - ПРОФЕСОР
Б3 - СЕМЕСТАР
Б4 - ИНДЕКС
 Б - ФАКУЛТЕТ
В1 - ПЛАТО
В2 - ВИСИЈА
В3 - ТИБЕТ
В4 - ПЕШТЕР
 В - ВИСОРАВАН
Г1 - ЧАЈ
Г2 - БЕНГАЛ
Г3 - КОНОПЉА
Г4 - ОРАХ
 Г - ИНДИЈА
??? - ДЕКАН

А1 - КОВАЧИЋ
А2 - ПОЕМА
А3 - РУПА
А4 - СЕПТИЧКА
 А - ЈАМА
Б1 - ЛИНИЈА
Б2 - НЕБО
Б3 - ЗЕМЉА
Б4 - ОБЗОР
 Б - ХОРИЗОНТ
В1 - ТРЕСЕТ
В2 - МРКИ
В3 - ЛИГНИТ
В4 - ЦРНИ
 В - УГАЉ
Г1 - ЖИЦА
Г2 - МЕДАЉА
Г3 - Au
Г4 - ПОЛУГА
 Г - ЗЛАТО
??? - РУДНИК
