6339. емисија
96. циклус
3. емисија
03. 09. 2016.
www.youtube.com/watch?v=w7FwRK9ePYE

А1 - ПАТЕНТ
А2 - ИНФОРМАЦИОНИ
А3 - ИЗГУЉЕНЕ
А4 - СТВАРИ
 А - БИРО
Б1 - ДЛАН
Б2 - ОЛОВКА
Б3 - АУТ
Б4 - КРИВА
 Б - ЛИНИЈА
В1 - ХАЛО
В2 - БУШЕНА
В3 - СИМ
В4 - ГРАФИЧКА
 В - КАРТИЦА
Г1 - ШАЛТЕР
Г2 - РАЧУН
Г3 - ТРЕЗОР
Г4 - ПЉАЧКА
 Г - БАНКА
??? - КРЕДИТ

А1 - СТАДИОН
А2 - ДИСЦИПЛИНА
А3 - МИТИНГ
А4 - ЛАКА
 А - АТЛЕТИКА
Б1 - СПОРТ
Б2 - КОЊИ
Б3 - МАРКО
Б4 - ФОЛКСВАГЕН
 Б - ПОЛО
В1 - ЧВОР
В2 - БРОД
В3 - ПОБУНА
В4 - ПОПАЈ
 В - МОРНАР
Г1 - БОЈА
Г2 - ШТАМПА
Г3 - МРАВ
Г4 - СУНЦОКРЕТ
 Г - ЖУТА
??? - МАЈИЦА
