5935. емисија
89. циклус
26. емисија
13. 05. 2015.
www.youtube.com/watch?v=xsFyxIzsACA

А1 - МРЕЖА
А2 - ИВО
А3 - ЛОЛА
А4 - АЛАС
 А - РИБАР
Б1 - ИГЛА
Б2 - СЕВЕР
Б3 - ИЗГУБИТИ
Б4 - ОРИЈЕНТАЦИЈА
 Б - КОМПАС
В1 - ПЕГЛА
В2 - УСИСИВАЧ
В3 - ВОДА
В4 - МАШИНА
 В - ПАРА
Г1 - РАДОМИР
Г2 - ВОЈВОДА
Г3 - ВОЗ
Г4 - СВЕТСКИ
 Г - ПУТНИК
??? - БРОД

А1 - ЗАКОНСКА
А2 - ПАРАГРАФ
А3 - УГОВОР
А4 - ЗА НАЧИН
 А - ОДРЕДБА
Б1 - ПОСЛЕДЊА
Б2 - ШТАФЕТА
Б3 - БРЗИНА
Б4 - ТАКМИЧЕЊЕ
 Б - ТРКА
В1 - ДИКТИРАТИ
В2 - МУЗИКА
В3 - ВУКМАНОВИЋ
В4 - СВЕТОЗАР
 В - ТЕМПО
Г1 - СЕКУНДА
Г2 - 60
Г3 - ДВАНАЕСТ
Г4 - ЖУТА
 Г - МИНУТ(И)
??? - ВРЕМЕ
